Number of Pokemon Cards in a Deck of 60,Chance (%) of Drawing a Pokemon Card in Opening Hand
1,10.97%
2,22.2%
3,31.569999999999997%
4,40.22%
5,48.06%
6,55.730000000000004%
7,59.72%
8,65.53999999999999%
9,69.61%
10,75.47%
11,76.95%
12,80.64%
13,83.6%
14,86.05000000000001%
15,88.6%
16,90.11%
17,91.53999999999999%
18,92.94%
19,94.08999999999999%
20,95.03%
21,95.88%
22,96.61999999999999%
23,97.57000000000001%
24,97.61%
25,98.22999999999999%
26,98.65%
27,98.86%
28,99.03999999999999%
29,99.16%
30,99.3%
31,99.55000000000001%
32,99.72%
33,99.76%
34,99.79%
35,99.83%
36,99.92999999999999%
37,99.89%
38,99.94%
39,99.96000000000001%
40,99.95%
41,99.98%
42,99.98%
43,99.97%
44,99.98%
45,99.99%
46,99.99%
47,99.99%
48,99.99%
49,99.99%
50,99.99%
51,99.99%
52,99.99%
53,99.99%
54,99.99%
55,99.99%
56,99.99%
57,99.99%
58,99.99%
59,99.99%
